review_text,rating,sentiment
Horrible quality. The product fell apart quickly.,2,0
Product arrived damaged and customer service was unhelpful.,1,0
Extremely poor quality. Do not waste your money on this.,1,0
This product deserves all the praise. Absolutely fantastic.,4,1
Great value product. Works perfectly and looks stylish.,4,1
Best purchase of the year. This product is incredible.,4,1
Incredible product value. Better than expected in every way.,5,1
Not satisfied at all. Product quality is very poor.,2,0
Best product I have bought online. Super fast delivery and great packaging.,5,1
This product is absolutely amazing! Best purchase I have ever made. The quality is outstanding.,5,1
Five stars are not enough for this product. Absolutely phenomenal.,5,1
Great product features and easy setup. Very user friendly.,4,1
Worst product I have ever bought. Total disappointment.,1,0
Amazing product performance. Works better than expensive alternatives.,4,1
Complete disaster of a product. Stay away from this.,2,0
Amazing product with excellent features. Worth every penny spent on it.,5,1
Do not recommend this product. Save your money.,2,0
Pathetic product quality. Waste of hard earned money.,2,0
Very good product. Easy to use and works exactly as advertised.,5,1
This product is exactly what I was looking for. Perfect match.,4,1
Extremely disappointed. Product does not match the description at all.,1,0
Product is falsely advertised. Nothing like shown.,2,0
Best in class product. Outstanding performance and durability.,4,1
Perfect product at perfect price. Could not ask for more.,4,1
Would give zero stars if possible. Product is garbage.,1,0
Premium quality product. The attention to detail is impressive.,5,1
Highly recommended product. Great quality and performance.,4,1
Poor quality control. Product has many defects.,2,0
Love this product! It works flawlessly and looks beautiful too.,5,1
Very bad quality product. Feels like a cheap knockoff.,1,0
Excellent product quality. The company has done a wonderful job.,5,1
Superior performance product. Beats the competition easily.,4,1
Very poor construction. Product broke within a month.,2,0
Excellent build quality. This product feels premium and sturdy.,4,1
Very bad experience. Product malfunctioned quickly.,2,0
Very satisfied with this purchase. The product is exactly what I needed.,5,1
Disappointed with the quality. Expected much better for the price.,1,0
Product quality is substandard. Not recommended at all.,1,0
Fantastic purchase decision. This product is a must have.,4,1
Wonderful purchase. The product arrived on time and works great.,5,1
Five star product all the way. Highly recommend to everyone.,4,1
Very good value for money. Product quality is top tier.,4,1
Highly recommend this product. It has made my life so much easier.,5,1
Disappointed beyond words. This product is useless.,2,0
Wonderful product experience. Smooth ordering and fast delivery.,4,1
Great product with excellent customer service. Will buy again.,5,1
Bad purchase decision. This product is worthless.,2,0
Extremely happy with this purchase. The product is flawless.,4,1
Complete waste of money. Product does not work as advertised.,1,0
Brilliant product at an affordable price. Highly satisfied customer here.,5,1
Top notch quality. This product is worth every rupee.,5,1
Great quality product. Would definitely recommend to friends and family.,5,1
Amazing quality for this price. Could not be happier with my decision.,5,1
Love everything about this product. Quality packaging too.,4,1
Fantastic product with great build quality. Very impressed with the purchase.,5,1
Product is faulty right out of the box. Very frustrating.,2,0
Outstanding quality and performance. This is the best product in this price range.,5,1
Horrible product experience. Customer support is useless too.,1,0
Excellent product with great features. Highly satisfied.,4,1
Terrible product. Would not recommend to my worst enemy.,2,0
Worst purchase ever. The product is completely useless and broken.,1,0
Avoid this product. It is poorly made and unreliable.,2,0
Not worth the price. Product quality is very poor and cheap.,1,0
Exceptional product quality. Very happy with my purchase.,4,1
Very disappointed with this product. Poor quality and does not work properly.,1,0
Bad product. Stopped functioning properly within days.,1,0
Wonderful product experience from start to finish.,4,1
Terrible purchase. The product is nothing like described.,1,0
Poor quality material used. Product feels cheap and flimsy.,1,0
Not worth even half the price. Terrible product.,2,0
Terrible experience. Product is defective and useless.,2,0
Amazing build quality. This product will last for years.,4,1
Product quality is horrible. Broke within the first week.,1,0
Excellent purchase. Product arrived quickly and works great.,4,1
Worst online shopping experience. Product is junk.,2,0
Very bad experience with this product. Total waste of money.,1,0
Highly disappointed. Quality is nowhere near expectations.,2,0
Superior quality product. Definitely worth the investment.,4,1
Do not trust the reviews. Product is terrible quality.,2,0
Do not buy this product. It is of very low quality.,1,0
Very unhappy with this purchase. The product is defective.,1,0
Waste of time and money. Product does not work.,2,0
Outstanding customer experience. Product is simply superb.,4,1
Highly impressed with this product. Exceeded all expectations.,4,1
Excellent value for money. Fast delivery and the product works perfectly as described.,5,1
Terrible product quality. Would not recommend to anyone at all.,1,0
Superb quality and fast shipping. Very pleased with the purchase.,5,1
I am very happy with this purchase. The product exceeded my expectations completely.,5,1
Perfect product for my needs. Works exactly as described.,5,1
Low quality product sold at high price. Avoid this.,2,0
Product arrived broken. Return process is nightmare.,2,0
Product broke immediately. No response from seller.,1,0
Disappointed customer here. Product is not worth it.,2,0
Product stopped working after few uses. Very disappointed.,2,0
This product has transformed my daily routine. Highly recommended.,5,1
Regret buying this. The product is not as shown in pictures.,1,0
Product is a complete scam. Does not work at all.,1,0
This product is a game changer. Absolutely love it and use it daily.,5,1
Subpar quality. Expected much better from this brand.,2,0
Waste of money. The product stopped working after just two days.,1,0
